decile,subscribers,churners,churn_rate,at_risk_eur,lift_vs_random
1,704,645,0.9161931818181818,6924.79517267773,2.224408290984378
2,704,591,0.8394886363636364,5901.1064270021325,2.038178759646151
3,703,409,0.5817923186344239,2186.452958892678,1.4125226894105614
4,704,295,0.4190340909090909,1436.52715709693,1.0173650323106844
5,703,253,0.35988620199146515,1234.5951013722804,0.873760979024137
6,704,193,0.2741477272727273,941.9347115523585,0.6655981397829225
7,703,149,0.2119487908961593,727.1931192813545,0.5145865054331874
8,704,133,0.18892045454545456,649.1052675464439,0.4586764382960036
9,703,124,0.1763869132290185,605.1808509455567,0.4282464877430553
10,704,106,0.15056818181818182,517.3320177437824,0.36556167262689004
