risk_score,clv_eur,expected_value_eur,is_churn,tenure_band,active_days_30d,days_since_last_play
0.6665,16.6348,11.0879,0,05 2+ years,19,1.0
0.1956,4.8805,0.9547,0,04 1-2 years,30,1.0
0.2145,4.8805,1.0471,0,05 2+ years,15,1.0
0.4781,4.8805,2.3335,0,05 2+ years,17,1.0
0.3691,4.8805,1.8012,0,04 1-2 years,28,1.0
0.2905,4.8805,1.4179,0,04 1-2 years,11,3.0
0.2968,4.8805,1.4485,0,04 1-2 years,17,2.0
0.4576,4.8805,2.2333,1,01 0-3 months,16,1.0
0.7505,3.5253,2.6458,0,03 6-12 months,26,1.0
0.3053,4.8805,1.49,0,05 2+ years,7,3.0
0.2021,4.8805,0.9865,0,05 2+ years,24,1.0
0.2516,4.8805,1.2279,0,05 2+ years,21,3.0
0.8955,7.4219,6.6461,1,05 2+ years,20,1.0
0.3732,4.8805,1.8215,1,04 1-2 years,18,1.0
0.9748,7.4219,7.2347,1,05 2+ years,0,
0.1479,4.8805,0.7218,0,05 2+ years,30,1.0
0.7575,7.4219,5.6222,1,05 2+ years,14,1.0
0.8441,16.6348,14.042,1,05 2+ years,27,1.0
0.1193,4.8805,0.5822,0,05 2+ years,30,1.0
0.7732,4.8805,3.7736,0,05 2+ years,3,16.0
0.0989,4.8805,0.4825,0,05 2+ years,30,1.0
0.3761,4.8805,1.8357,0,05 2+ years,17,1.0
0.8516,7.4219,6.3207,1,03 6-12 months,28,1.0
0.4736,7.4219,3.515,0,05 2+ years,29,1.0
0.2455,4.8805,1.1984,1,05 2+ years,30,1.0
0.2048,4.8805,0.9997,0,03 6-12 months,23,2.0
0.905,3.5253,3.1905,1,05 2+ years,21,1.0
0.8518,16.6348,14.17,1,05 2+ years,21,1.0
0.1928,4.8805,0.9409,0,04 1-2 years,28,1.0
0.9474,7.4219,7.0316,1,05 2+ years,26,1.0
0.1548,4.8805,0.7553,0,04 1-2 years,15,2.0
0.8451,16.6348,14.0575,1,05 2+ years,14,4.0
0.1624,4.8805,0.7924,0,04 1-2 years,30,1.0
0.2457,4.8805,1.1991,1,02 3-6 months,26,1.0
0.8321,7.4219,6.1761,1,05 2+ years,24,2.0
0.2839,4.8805,1.3855,0,05 2+ years,30,1.0
0.1912,4.8805,0.9332,0,04 1-2 years,30,1.0
0.4381,4.8805,2.1383,1,05 2+ years,11,2.0
0.2398,4.8805,1.1706,1,03 6-12 months,30,1.0
0.4146,4.8805,2.0234,0,05 2+ years,25,2.0
0.3258,4.8805,1.5899,0,02 3-6 months,18,2.0
0.9559,16.6348,15.9019,1,05 2+ years,5,11.0
0.7653,7.4219,5.6798,1,04 1-2 years,19,1.0
0.1771,4.8805,0.8644,0,04 1-2 years,21,1.0
0.1997,4.8805,0.9745,0,05 2+ years,22,1.0
0.8449,3.5253,2.9784,1,03 6-12 months,23,1.0
0.9417,16.6348,15.6649,1,04 1-2 years,7,3.0
0.1008,4.8805,0.4919,0,05 2+ years,28,1.0
0.3877,4.8805,1.8921,1,05 2+ years,18,1.0
0.2693,4.8805,1.3142,0,05 2+ years,19,2.0
0.5424,4.8805,2.6473,1,05 2+ years,22,3.0
0.2919,4.8805,1.4247,0,01 0-3 months,21,1.0
0.23,4.8805,1.1223,1,03 6-12 months,18,1.0
0.2547,4.8805,1.2429,0,05 2+ years,19,3.0
0.1456,4.8805,0.7106,0,04 1-2 years,27,1.0
0.1755,4.8805,0.8566,0,05 2+ years,25,1.0
0.6913,4.8805,3.3738,1,05 2+ years,13,3.0
0.3368,4.8805,1.6436,0,05 2+ years,8,4.0
0.8181,7.4219,6.0716,0,04 1-2 years,13,4.0
0.8455,4.8805,4.1264,1,04 1-2 years,11,16.0
0.474,4.8805,2.3133,0,05 2+ years,11,1.0
0.255,4.8805,1.2446,0,05 2+ years,22,1.0
0.9069,7.4219,6.7309,1,05 2+ years,20,1.0
0.1211,4.8805,0.5909,1,05 2+ years,27,1.0
0.1538,4.8805,0.7508,0,04 1-2 years,29,1.0
0.6284,4.8805,3.0667,1,04 1-2 years,7,12.0
0.8681,16.6348,14.4403,1,05 2+ years,23,1.0
0.2163,4.8805,1.0556,0,05 2+ years,27,1.0
0.1881,4.8805,0.918,0,04 1-2 years,17,3.0
0.1397,4.8805,0.6816,0,05 2+ years,26,1.0
0.4311,4.8805,2.104,1,04 1-2 years,28,2.0
0.2504,4.8805,1.2218,0,03 6-12 months,20,1.0
0.2627,4.8805,1.2819,0,02 3-6 months,15,1.0
0.2787,4.8805,1.3602,0,04 1-2 years,30,1.0
0.2387,4.8805,1.1651,0,03 6-12 months,24,1.0
0.1578,4.8805,0.7701,1,04 1-2 years,30,1.0
0.152,4.8805,0.7419,0,05 2+ years,25,1.0
0.2095,4.8805,1.0227,0,04 1-2 years,27,1.0
0.2965,4.8805,1.4471,1,05 2+ years,28,1.0
0.8896,16.6348,14.7979,0,04 1-2 years,11,1.0
0.2763,4.8805,1.3484,1,05 2+ years,26,1.0
0.5728,4.8805,2.7957,0,05 2+ years,6,9.0
0.9376,7.4219,6.9584,1,05 2+ years,19,1.0
0.1441,4.8805,0.7033,0,05 2+ years,30,1.0
0.3689,4.8805,1.8005,1,03 6-12 months,20,1.0
0.2915,4.8805,1.4225,1,05 2+ years,11,2.0
0.186,4.8805,0.9077,0,05 2+ years,30,1.0
0.1728,4.8805,0.8432,1,04 1-2 years,20,2.0
0.2461,4.8805,1.2012,0,04 1-2 years,28,1.0
0.1932,4.8805,0.9429,0,01 0-3 months,22,1.0
0.171,4.8805,0.8345,1,04 1-2 years,28,1.0
0.3541,4.8805,1.7281,0,04 1-2 years,24,1.0
0.1495,4.8805,0.7296,0,04 1-2 years,16,3.0
0.3943,4.8805,1.9241,1,04 1-2 years,19,1.0
0.5923,4.8805,2.8905,0,01 0-3 months,4,5.0
0.7755,4.8805,3.7847,1,05 2+ years,10,3.0
0.4749,4.8805,2.3177,1,05 2+ years,16,1.0
0.2359,4.8805,1.1513,0,04 1-2 years,20,1.0
0.1953,4.8805,0.953,0,05 2+ years,25,1.0
0.2645,4.8805,1.2909,0,05 2+ years,26,1.0
0.1983,4.8805,0.9679,0,04 1-2 years,21,2.0
0.3248,4.8805,1.5854,1,05 2+ years,23,3.0
0.7735,4.8805,3.7753,1,01 0-3 months,8,14.0
0.6287,4.8805,3.0682,1,01 0-3 months,6,3.0
0.9222,7.4219,6.8447,1,01 0-3 months,2,1.0
0.9592,7.4219,7.1193,1,05 2+ years,24,2.0
0.905,16.6348,15.0546,1,05 2+ years,5,1.0
0.1374,4.8805,0.6704,0,05 2+ years,30,1.0
0.2253,4.8805,1.0998,0,04 1-2 years,28,1.0
0.4385,4.8805,2.1402,0,02 3-6 months,20,1.0
0.7945,4.8805,3.8775,1,05 2+ years,3,15.0
0.1447,4.8805,0.7064,0,05 2+ years,29,1.0
0.4279,4.8805,2.0882,0,03 6-12 months,21,2.0
0.1839,4.8805,0.8973,0,05 2+ years,22,1.0
0.26,4.8805,1.2688,1,05 2+ years,10,1.0
0.1442,4.8805,0.704,0,05 2+ years,26,1.0
0.163,4.8805,0.7957,0,05 2+ years,30,1.0
0.1752,4.8805,0.855,0,03 6-12 months,28,1.0
0.5718,4.8805,2.7905,0,05 2+ years,3,22.0
0.8646,3.5253,3.048,1,04 1-2 years,15,6.0
0.3464,4.8805,1.6908,1,03 6-12 months,23,1.0
0.8736,7.4219,6.4835,1,05 2+ years,26,1.0
0.8552,16.6348,14.2261,1,05 2+ years,17,3.0
0.2044,4.8805,0.9977,1,05 2+ years,26,1.0
0.3137,4.8805,1.5309,0,04 1-2 years,26,1.0
0.8706,7.4219,6.4616,0,04 1-2 years,27,1.0
0.2627,4.8805,1.2821,0,03 6-12 months,28,1.0
0.9356,7.4219,6.9436,1,05 2+ years,27,2.0
0.2182,4.8805,1.0652,0,05 2+ years,22,2.0
0.2584,4.8805,1.2614,0,05 2+ years,24,1.0
0.8669,16.6348,14.4205,1,04 1-2 years,30,1.0
0.1525,4.8805,0.7441,1,05 2+ years,28,1.0
0.1571,4.8805,0.7669,0,01 0-3 months,29,1.0
0.2112,4.8805,1.0308,0,05 2+ years,26,1.0
0.8565,16.6348,14.2484,0,05 2+ years,27,1.0
0.9389,7.4219,6.9684,1,03 6-12 months,14,4.0
0.216,4.8805,1.054,0,05 2+ years,30,1.0
0.1916,4.8805,0.9352,0,05 2+ years,28,1.0
0.1434,4.8805,0.6997,0,05 2+ years,30,1.0
0.2108,4.8805,1.0287,0,01 0-3 months,22,2.0
0.4315,4.8805,2.1057,0,03 6-12 months,27,1.0
0.2029,4.8805,0.9905,0,05 2+ years,23,1.0
0.4746,4.8805,2.3165,1,04 1-2 years,16,1.0
0.123,4.8805,0.6005,0,05 2+ years,30,1.0
0.6304,7.4219,4.6786,1,03 6-12 months,18,2.0
0.2518,4.8805,1.2287,0,03 6-12 months,16,1.0
0.2257,4.8805,1.1017,1,05 2+ years,27,1.0
0.3212,4.8805,1.5678,0,04 1-2 years,23,1.0
0.2103,4.8805,1.0264,1,03 6-12 months,27,1.0
0.8468,4.8805,4.1326,1,03 6-12 months,3,8.0
0.1865,4.8805,0.9103,0,05 2+ years,27,1.0
0.853,4.8805,4.1632,1,05 2+ years,0,
0.1638,4.8805,0.7995,0,05 2+ years,25,1.0
0.7044,4.8805,3.4379,0,03 6-12 months,9,3.0
0.427,4.8805,2.0841,0,04 1-2 years,30,1.0
0.2788,4.8805,1.3605,0,05 2+ years,22,3.0
0.6269,4.8805,3.0595,0,05 2+ years,20,1.0
0.1962,4.8805,0.9574,0,03 6-12 months,26,1.0
0.8464,7.4219,6.2818,1,04 1-2 years,26,1.0
0.8847,7.4219,6.5662,1,04 1-2 years,3,14.0
0.823,16.6348,13.6908,1,05 2+ years,24,1.0
0.8221,7.4219,6.1012,0,03 6-12 months,23,1.0
0.1506,4.8805,0.7349,0,04 1-2 years,30,1.0
0.8677,16.6348,14.4337,1,05 2+ years,3,2.0
0.2079,4.8805,1.0147,1,05 2+ years,13,5.0
0.1668,4.8805,0.8143,0,05 2+ years,23,1.0
0.3082,4.8805,1.5043,1,04 1-2 years,22,1.0
0.2821,4.8805,1.3766,0,05 2+ years,14,2.0
0.1931,4.8805,0.9425,0,01 0-3 months,16,2.0
0.2944,4.8805,1.4368,1,05 2+ years,29,1.0
0.1973,4.8805,0.9628,0,05 2+ years,30,1.0
0.7725,4.8805,3.7702,1,01 0-3 months,8,18.0
0.3329,4.8805,1.6249,1,04 1-2 years,24,1.0
0.2302,4.8805,1.1235,0,05 2+ years,26,1.0
0.1822,4.8805,0.8892,0,04 1-2 years,19,2.0
0.3517,4.8805,1.7164,0,05 2+ years,26,1.0
0.866,16.6348,14.4056,1,04 1-2 years,25,1.0
0.7187,16.6348,11.9559,1,05 2+ years,10,1.0
0.8363,16.6348,13.9115,1,04 1-2 years,28,1.0
0.474,4.8805,2.3133,0,01 0-3 months,8,1.0
0.2247,4.8805,1.0967,0,03 6-12 months,15,1.0
0.6975,7.4219,5.1768,0,05 2+ years,16,1.0
0.8294,16.6348,13.7963,1,05 2+ years,14,2.0
0.1712,4.8805,0.8355,0,03 6-12 months,27,1.0
0.7888,3.5253,2.7807,1,05 2+ years,30,1.0
0.2208,4.8805,1.0775,0,02 3-6 months,30,1.0
0.1734,4.8805,0.8461,0,04 1-2 years,30,1.0
0.3121,4.8805,1.5232,1,05 2+ years,11,2.0
0.2537,4.8805,1.2381,1,04 1-2 years,27,1.0
0.7912,7.4219,5.8723,1,05 2+ years,30,1.0
0.8162,3.5253,2.8772,0,02 3-6 months,28,1.0
0.1355,4.8805,0.6615,0,03 6-12 months,23,1.0
0.2994,4.8805,1.4611,0,05 2+ years,29,1.0
0.3605,4.8805,1.7593,0,05 2+ years,8,6.0
0.4041,4.8805,1.9722,0,05 2+ years,14,5.0
0.4223,4.8805,2.0611,1,05 2+ years,18,1.0
0.9076,7.4219,6.7359,1,05 2+ years,24,3.0
0.2397,4.8805,1.1698,0,05 2+ years,30,1.0
0.1432,4.8805,0.6988,0,05 2+ years,28,1.0
0.2151,4.8805,1.0497,0,04 1-2 years,18,4.0
0.1985,4.8805,0.9686,0,05 2+ years,15,2.0
0.2955,4.8805,1.4421,1,05 2+ years,17,2.0
0.8532,3.5253,3.0078,1,05 2+ years,30,1.0
0.2071,4.8805,1.0106,0,05 2+ years,24,1.0
0.3197,4.8805,1.5604,0,05 2+ years,13,1.0
0.2328,4.8805,1.1361,0,05 2+ years,24,1.0
0.1484,4.8805,0.7245,0,05 2+ years,29,1.0
0.4177,4.8805,2.0385,1,05 2+ years,23,1.0
0.5126,4.8805,2.5017,1,05 2+ years,19,1.0
0.9595,7.4219,7.1216,1,05 2+ years,25,1.0
0.1896,4.8805,0.9255,0,05 2+ years,22,1.0
0.3205,4.8805,1.5641,1,05 2+ years,9,2.0
0.617,3.5253,2.1751,1,05 2+ years,20,1.0
0.6242,4.8805,3.0462,0,03 6-12 months,26,3.0
0.8435,3.5253,2.9735,1,04 1-2 years,3,11.0
0.1163,4.8805,0.5676,0,05 2+ years,29,1.0
0.1538,4.8805,0.7506,0,05 2+ years,20,2.0
0.4523,4.8805,2.2076,1,05 2+ years,13,10.0
0.137,4.8805,0.6686,0,04 1-2 years,30,1.0
0.8388,7.4219,6.2256,1,05 2+ years,17,1.0
0.3187,4.8805,1.5552,1,01 0-3 months,29,1.0
0.5166,4.8805,2.5213,1,05 2+ years,4,11.0
0.8688,16.6348,14.4517,1,05 2+ years,20,2.0
0.2224,4.8805,1.0852,0,05 2+ years,30,1.0
0.9599,16.6348,15.9669,1,05 2+ years,3,1.0
0.2216,4.8805,1.0813,0,04 1-2 years,21,1.0
0.5789,4.8805,2.8254,0,03 6-12 months,6,16.0
0.2702,4.8805,1.3189,0,05 2+ years,5,4.0
0.5784,4.8805,2.8227,1,05 2+ years,9,2.0
0.9644,7.4219,7.1577,1,05 2+ years,19,1.0
0.2867,4.8805,1.3994,0,01 0-3 months,17,1.0
0.1626,4.8805,0.7937,0,05 2+ years,30,1.0
0.1048,4.8805,0.5116,0,05 2+ years,29,1.0
0.2416,4.8805,1.1793,1,04 1-2 years,25,1.0
0.1921,4.8805,0.9376,0,05 2+ years,14,6.0
0.1353,4.8805,0.6603,1,05 2+ years,28,1.0
0.4001,4.8805,1.9526,1,05 2+ years,22,1.0
0.1436,4.8805,0.7009,0,04 1-2 years,24,1.0
0.1872,4.8805,0.9135,0,04 1-2 years,22,1.0
0.3519,4.8805,1.7175,1,02 3-6 months,14,8.0
0.2802,4.8805,1.3674,0,05 2+ years,10,1.0
0.2324,4.8805,1.1344,0,05 2+ years,30,1.0
0.1916,4.8805,0.9353,0,04 1-2 years,27,1.0
0.1586,4.8805,0.774,0,03 6-12 months,24,1.0
0.3535,4.8805,1.7254,1,05 2+ years,28,1.0
0.1761,4.8805,0.8593,0,03 6-12 months,24,1.0
0.341,4.8805,1.6644,0,01 0-3 months,15,4.0
0.4457,4.8805,2.1751,1,03 6-12 months,14,1.0
0.1498,4.8805,0.7309,0,05 2+ years,30,1.0
0.2519,4.8805,1.2292,1,04 1-2 years,8,5.0
0.852,16.6348,14.173,1,04 1-2 years,24,1.0
0.2681,4.8805,1.3086,0,04 1-2 years,19,3.0
0.2331,4.8805,1.1378,0,04 1-2 years,27,1.0
0.3395,4.8805,1.6567,1,01 0-3 months,28,1.0
0.1764,4.8805,0.8607,0,05 2+ years,26,1.0
0.4531,4.8805,2.2112,1,05 2+ years,22,4.0
0.6702,4.8805,3.2707,1,01 0-3 months,8,9.0
0.9168,16.6348,15.2504,1,05 2+ years,4,12.0
0.1372,4.8805,0.6697,0,04 1-2 years,27,1.0
0.857,3.5253,3.0211,1,01 0-3 months,4,14.0
0.2625,4.8805,1.2811,0,03 6-12 months,22,1.0
0.2064,4.8805,1.0073,0,05 2+ years,18,1.0
0.614,7.4219,4.5572,0,05 2+ years,16,1.0
0.8636,16.6348,14.3664,1,05 2+ years,30,1.0
0.2157,4.8805,1.0529,1,02 3-6 months,24,1.0
0.8084,16.6348,13.448,1,05 2+ years,30,1.0
0.8204,16.6348,13.6476,1,04 1-2 years,25,1.0
0.1488,4.8805,0.7264,0,04 1-2 years,30,1.0
0.6026,4.8805,2.9412,1,01 0-3 months,21,5.0
0.1785,4.8805,0.8713,0,05 2+ years,28,1.0
0.1991,4.8805,0.9715,0,04 1-2 years,15,1.0
0.9276,16.6348,15.4302,1,01 0-3 months,2,1.0
0.4721,4.8805,2.3039,0,05 2+ years,8,12.0
0.3435,4.8805,1.6765,0,01 0-3 months,26,1.0
0.4473,4.8805,2.1829,1,05 2+ years,18,1.0
0.2184,4.8805,1.066,0,04 1-2 years,19,3.0
0.2332,4.8805,1.1383,0,04 1-2 years,27,1.0
0.3153,4.8805,1.539,0,01 0-3 months,19,1.0
0.1542,4.8805,0.7524,0,04 1-2 years,29,1.0
0.5124,4.8805,2.5007,1,05 2+ years,16,1.0
0.2423,4.8805,1.1824,1,05 2+ years,21,1.0
0.5346,4.8805,2.609,1,05 2+ years,14,2.0
0.0936,4.8805,0.4569,1,05 2+ years,29,1.0
0.3406,4.8805,1.6622,0,01 0-3 months,26,1.0
0.8539,16.6348,14.2037,1,04 1-2 years,23,6.0
0.4475,3.5253,1.5776,0,05 2+ years,14,1.0
0.3427,4.8805,1.6727,1,05 2+ years,28,1.0
0.2198,4.8805,1.0728,1,05 2+ years,24,1.0
0.1884,4.8805,0.9195,0,05 2+ years,27,1.0
0.0901,4.8805,0.4398,0,05 2+ years,30,1.0
0.2266,4.8805,1.106,0,02 3-6 months,22,1.0
0.1646,4.8805,0.8034,0,05 2+ years,29,1.0
0.3714,4.8805,1.8128,0,03 6-12 months,13,3.0
0.8411,16.6348,13.9909,1,04 1-2 years,27,1.0
0.181,4.8805,0.8835,0,03 6-12 months,26,1.0
0.2892,4.8805,1.4113,1,02 3-6 months,17,5.0
0.1922,4.8805,0.9382,0,04 1-2 years,27,1.0
0.7925,7.4219,5.8816,1,05 2+ years,30,1.0
0.8798,7.4219,6.53,1,05 2+ years,15,1.0
0.2066,4.8805,1.0082,0,04 1-2 years,29,1.0
0.1788,4.8805,0.8728,0,03 6-12 months,20,2.0
0.1517,4.8805,0.7402,0,05 2+ years,19,1.0
0.1837,4.8805,0.8965,1,04 1-2 years,25,1.0
0.2059,4.8805,1.0049,0,05 2+ years,29,1.0
0.4035,4.8805,1.9694,0,05 2+ years,2,1.0
0.2217,4.8805,1.0818,0,04 1-2 years,25,1.0
0.303,4.8805,1.4789,0,05 2+ years,3,1.0
0.2012,4.8805,0.982,0,05 2+ years,21,1.0
0.2484,4.8805,1.2125,0,05 2+ years,11,2.0
0.5074,7.4219,3.7658,0,05 2+ years,25,1.0
0.8573,16.6348,14.2614,1,05 2+ years,24,1.0
0.1716,4.8805,0.8377,0,05 2+ years,18,1.0
0.8478,3.5253,2.9888,0,02 3-6 months,21,3.0
0.5956,4.8805,2.9071,1,04 1-2 years,3,20.0
0.244,4.8805,1.1909,0,05 2+ years,21,1.0
0.2315,4.8805,1.1297,0,02 3-6 months,30,1.0
0.1872,4.8805,0.9137,0,05 2+ years,21,1.0
0.4405,4.8805,2.1499,0,04 1-2 years,19,1.0
0.2541,4.8805,1.2402,0,03 6-12 months,30,1.0
0.2082,4.8805,1.0163,0,02 3-6 months,27,1.0
0.1931,4.8805,0.9423,0,05 2+ years,22,1.0
0.9756,16.6348,16.2285,1,05 2+ years,0,
0.1724,4.8805,0.8414,0,05 2+ years,30,1.0
0.2013,4.8805,0.9824,0,01 0-3 months,27,1.0
0.1584,4.8805,0.773,1,05 2+ years,30,1.0
0.2116,4.8805,1.0325,0,04 1-2 years,13,1.0
0.8465,7.4219,6.2827,0,05 2+ years,23,1.0
0.2315,4.8805,1.1297,0,04 1-2 years,25,2.0
0.3697,4.8805,1.8042,0,05 2+ years,14,2.0
0.1378,4.8805,0.6726,1,05 2+ years,25,1.0
0.1313,4.8805,0.6407,0,02 3-6 months,30,1.0
0.1516,4.8805,0.74,0,05 2+ years,28,1.0
0.2719,4.8805,1.3272,0,05 2+ years,25,1.0
0.2742,4.8805,1.338,0,05 2+ years,30,1.0
0.1037,4.8805,0.5062,0,03 6-12 months,30,1.0
0.9569,7.4219,7.1017,1,05 2+ years,22,2.0
0.2532,4.8805,1.2358,0,05 2+ years,15,1.0
0.3277,4.8805,1.5994,0,04 1-2 years,30,1.0
0.2178,4.8805,1.063,0,05 2+ years,27,1.0
0.3386,4.8805,1.6527,0,05 2+ years,11,2.0
0.1473,4.8805,0.7188,0,05 2+ years,26,1.0
0.7981,16.6348,13.2756,0,05 2+ years,9,2.0
0.2415,4.8805,1.1787,0,05 2+ years,24,1.0
0.7847,7.4219,5.8238,0,05 2+ years,13,1.0
0.1537,4.8805,0.7503,0,04 1-2 years,27,1.0
0.8325,7.4219,6.1788,1,05 2+ years,30,1.0
0.1977,4.8805,0.9651,0,05 2+ years,28,1.0
0.4169,4.8805,2.0345,1,03 6-12 months,21,3.0
0.5812,16.6348,9.6685,0,05 2+ years,30,1.0
0.1587,4.8805,0.7747,0,04 1-2 years,22,1.0
0.2398,4.8805,1.1704,1,04 1-2 years,17,1.0
