segment,subscribers,churned,segment_value,avg_arpu,churn_rate,renewal_rate,churn_ci_lo,churn_ci_hi,ci_width_pp,renewal_value_weighted,value_at_risk,pct_of_cohort_value,below_min_n,dimension
01 0-3 months,9345,903,1097103.0,117.4,0.09662921348314607,0.9033707865168539,0.09080363704480791,0.10278628174808134,1.1982644703273426,0.8917020553220618,118814.0,4.690109611789878,False,tenure_band
02 3-6 months,8161,675,1020422.73,125.03648204876853,0.08271045215047175,0.9172895478495282,0.07692897344432142,0.08888459019298633,1.195561674866491,0.902915412321323,99067.32,4.362301856855616,False,tenure_band
03 6-12 months,19245,1584,2324585.57,120.78906573135879,0.082307092751364,0.917692907248636,0.07850704153826923,0.08627386050231628,0.7766818964047045,0.9070847368290254,215989.48,9.937591206372646,False,tenure_band
04 1-2 years,38611,3468,4677126.05,121.13454844474371,0.08981896350780866,0.9101810364921914,0.0870076782277082,0.09271185956248108,0.5704181334772879,0.901150716260897,462330.56,19.994689507418926,False,tenure_band
05 2+ years,101872,10105,14272604.01,140.10330620779015,0.09919310507303282,0.9008068949269672,0.09737259409300177,0.10104384271249293,0.36712486194911687,0.9010277795831596,1412591.31,61.015307817562935,False,tenure_band
01 weekly or less,133,100,2400.0,18.045112781954888,0.7518796992481203,0.24812030075187974,0.6720965653643735,0.8175211322062971,14.542456684192363,0.5,1200.0,0.010259987501898825,True,plan_band
02 monthly,172007,12397,22790707.19,132.4987191800334,0.07207264820617766,0.9279273517938224,0.0708600516537998,0.07330435826659049,0.24443066127906865,0.920366964707601,1814893.19,97.43015455368153,False,plan_band
03 quarterly,1017,773,117224.32,115.26481809242871,0.76007866273353,0.23992133726647003,0.7328858436300975,0.7853141133065226,5.242826967642511,0.24419838818429485,88598.33,0.5011333575494118,False,plan_band
04 half-year,2166,1824,252990.62,116.80084025854109,0.8421052631578947,0.1578947368421053,0.8261449790631132,0.8568542299230884,3.0709250859975112,0.1712042130257636,209677.56,1.0815335830406811,False,plan_band
05 annual or longer,1911,1641,228519.23,119.58096807953952,0.858712715855573,0.14128728414442704,0.8423753262254294,0.8736108425952345,3.123551636980504,0.14920249818800813,194423.58999999997,0.9769185182264762,False,plan_band
00 no discount,176106,16142,23374422.36,132.72927872985588,0.09166070434851736,0.9083392956514826,0.09032194806934656,0.0930172747211667,0.26953266518201513,0.9012955856420146,2307158.67,99.92553386571018,False,discount_band
02 moderate (10-30%),59,11,7491.0,126.96610169491525,0.1864406779661017,0.8135593220338984,0.10742721942005332,0.3037895044696276,19.63622850495743,0.8252569750367107,1309.0,0.03202398599030171,True,discount_band
03 deep (30%+),504,89,9801.0,19.446428571428573,0.1765873015873016,0.8234126984126984,0.14577915189816287,0.21228822456803803,6.650907266987516,0.9797979797979798,198.0,0.04189922396087933,False,discount_band
98 paid above list,1,1,127.0,127.0,1.0,0.0,0.2065493143772374,1.0,79.34506856227625,0.0,127.0,0.0005429243386421462,True,discount_band
99 free or anomalous,564,492,0.0,0.0,0.8723404255319149,0.12765957446808507,0.8422586057469381,0.8973844644724598,5.512585872552167,,0.0,0.0,False,discount_band
declining,25780,2178,3438946.57,133.39591039565553,0.08448409619860357,0.9155159038013965,0.08115079057460406,0.08794121481116385,0.6790424236559789,0.9121495656153797,302112.95,14.701478678290764,False,engagement_trend
increasing,50815,5326,6844454.48,134.69358417790025,0.10481157138640165,0.8951884286135984,0.10217811480361119,0.10750477352935661,0.532665872574542,0.8876972821945044,768650.8400000001,29.26000725921476,False,engagement_trend
never active,17626,1571,2081067.67,118.06806252127538,0.08912969476909112,0.9108703052309088,0.08501232587553448,0.09342611704345977,0.8413791167925289,0.9034284935097762,200971.84,8.896553452002378,False,engagement_trend
newly active,6651,504,770224.73,115.8058532551496,0.07577807848443843,0.9242219215155616,0.06965997082461363,0.08238594418055055,1.2725973355936921,0.9424020051913939,44363.399999999994,3.2927067097722484,False,engagement_trend
sharp decline,20879,2374,2666622.32,127.71791369318453,0.11370276354231525,0.8862972364576848,0.10946768899388583,0.11807995906880471,0.8612270074918882,0.8775992582256643,326396.55,11.399796531451852,False,engagement_trend
stable,55483,4782,7590525.59,136.80813204044483,0.08618856226231458,0.9138114377376854,0.08388193161020278,0.08855249080905538,0.4670559198852592,0.912219900703872,666297.09,32.449457369268,False,engagement_trend
0,23395,9604,3524154.17,150.63706646719385,0.4105150673220774,0.5894849326779226,0.4042266757322407,0.4168328409379055,1.260616520566482,0.6207412004339186,1336566.48,15.065740724568593,False,is_auto_renew
1,153839,7131,19867687.19,129.14597202269906,0.046353655444978194,0.9536463445550218,0.04531430327206568,0.047415662734440055,0.2101359462374372,0.9510649538266663,972226.19,84.93425927543142,False,is_auto_renew
